"PassengerId","Survived"
892,"1"
893,"1"
894,"1"
895,"1"
896,"0"
897,"1"
898,"0"
899,"1"
900,"0"
901,"1"
902,NA
903,"1"
904,"0"
905,"1"
906,"0"
907,"0"
908,"1"
909,"1"
910,"0"
911,"1"
912,"1"
913,"1"
914,NA
915,"0"
916,"0"
917,"1"
918,"0"
919,"1"
920,"1"
921,NA
922,"1"
923,"1"
924,"0"
925,NA
926,"1"
927,"1"
928,NA
929,"0"
930,"1"
931,NA
932,"1"
933,NA
934,"1"
935,"0"
936,"0"
937,"1"
938,"1"
939,NA
940,"0"
941,"0"
942,"1"
943,"1"
944,"0"
945,"0"
946,NA
947,"1"
948,"1"
949,"1"
950,NA
951,"0"
952,"1"
953,"1"
954,"1"
955,"0"
956,"0"
957,NA
958,"0"
959,"1"
960,"1"
961,"0"
962,"0"
963,"1"
964,"0"
965,"1"
966,"0"
967,"0"
968,NA
969,"0"
970,"1"
971,"0"
972,"1"
973,"1"
974,"1"
975,NA
976,NA
977,NA
978,"0"
979,"0"
980,NA
981,"1"
982,"0"
983,NA
984,"0"
985,NA
986,"0"
987,"1"
988,"0"
989,"1"
990,"0"
991,"1"
992,"0"
993,"1"
994,NA
995,"1"
996,"0"
997,"1"
998,"1"
999,NA
1000,NA
1001,"1"
1002,"1"
1003,NA
1004,"0"
1005,"0"
1006,"0"
1007,"1"
1008,NA
1009,"0"
1010,"1"
1011,"0"
1012,"0"
1013,NA
1014,"0"
1015,"1"
1016,NA
1017,"0"
1018,"1"
1019,NA
1020,"1"
1021,"1"
1022,"1"
1023,"1"
1024,NA
1025,NA
1026,"1"
1027,"1"
1028,"1"
1029,"1"
1030,"0"
1031,"1"
1032,"1"
1033,"0"
1034,"1"
1035,"1"
1036,"1"
1037,"1"
1038,NA
1039,"1"
1040,NA
1041,"1"
1042,"0"
1043,NA
1044,NA
1045,"0"
1046,"1"
1047,"1"
1048,"0"
1049,"0"
1050,"1"
1051,"0"
1052,NA
1053,"1"
1054,"0"
1055,NA
1056,"1"
1057,"0"
1058,"1"
1059,"1"
1060,NA
1061,"0"
1062,NA
1063,"1"
1064,"1"
1065,NA
1066,"1"
1067,"0"
1068,"0"
1069,"1"
1070,"0"
1071,"0"
1072,"1"
1073,"1"
1074,"0"
1075,NA
1076,"0"
1077,"1"
1078,"0"
1079,"1"
1080,NA
1081,"1"
1082,"1"
1083,NA
1084,"1"
1085,"1"
1086,"1"
1087,"1"
1088,"0"
1089,"0"
1090,"1"
1091,NA
1092,NA
1093,"1"
1094,"1"
1095,"0"
1096,"1"
1097,NA
1098,"0"
1099,"1"
1100,"0"
1101,"1"
1102,"1"
1103,NA
1104,"1"
1105,"1"
1106,"1"
1107,"1"
1108,NA
1109,"1"
1110,"0"
1111,NA
1112,"0"
1113,"1"
1114,"0"
1115,"1"
1116,"0"
1117,NA
1118,"1"
1119,NA
1120,"1"
1121,"1"
1122,"1"
1123,"0"
1124,"1"
1125,NA
1126,"1"
1127,"1"
1128,"1"
1129,"1"
1130,"0"
1131,"0"
1132,"0"
1133,"0"
1134,"1"
1135,NA
1136,NA
1137,"1"
1138,"0"
1139,"1"
1140,"0"
1141,NA
1142,"0"
1143,"1"
1144,"0"
1145,"1"
1146,"1"
1147,NA
1148,NA
1149,"1"
1150,"0"
1151,"1"
1152,"1"
1153,"1"
1154,"0"
1155,"0"
1156,"1"
1157,NA
1158,NA
1159,NA
1160,NA
1161,"1"
1162,"1"
1163,NA
1164,"0"
1165,NA
1166,NA
1167,"0"
1168,"1"
1169,"1"
1170,"1"
1171,"1"
1172,"0"
1173,"1"
1174,NA
1175,"0"
1176,"0"
1177,"1"
1178,NA
1179,"0"
1180,NA
1181,NA
1182,NA
1183,"0"
1184,NA
1185,"1"
1186,"1"
1187,"1"
1188,"0"
1189,NA
1190,"1"
1191,"1"
1192,"1"
1193,NA
1194,"1"
1195,"1"
1196,NA
1197,"0"
1198,"0"
1199,"1"
1200,"1"
1201,"1"
1202,"1"
1203,"1"
1204,NA
1205,"0"
1206,"0"
1207,"0"
1208,"1"
1209,"1"
1210,"1"
1211,"1"
1212,"1"
1213,"1"
1214,"1"
1215,"1"
1216,"0"
1217,"1"
1218,"0"
1219,"1"
1220,"1"
1221,"1"
1222,"0"
1223,"1"
1224,NA
1225,"0"
1226,"1"
1227,"1"
1228,"1"
1229,"1"
1230,"1"
1231,NA
1232,"1"
1233,"1"
1234,NA
1235,"0"
1236,NA
1237,"0"
1238,"1"
1239,"0"
1240,"1"
1241,"0"
1242,"0"
1243,"1"
1244,"1"
1245,"1"
1246,"0"
1247,"1"
1248,"0"
1249,NA
1250,NA
1251,"0"
1252,"1"
1253,"0"
1254,"0"
1255,"1"
1256,"0"
1257,NA
1258,NA
1259,"0"
1260,"0"
1261,"1"
1262,"1"
1263,"0"
1264,"1"
1265,"1"
1266,"0"
1267,"0"
1268,"0"
1269,"1"
1270,"1"
1271,"1"
1272,NA
1273,"1"
1274,NA
1275,"0"
1276,NA
1277,"0"
1278,"1"
1279,"1"
1280,"1"
1281,"1"
1282,"0"
1283,"0"
1284,"1"
1285,"1"
1286,"1"
1287,"0"
1288,"1"
1289,"0"
1290,"1"
1291,"1"
1292,"0"
1293,"1"
1294,"0"
1295,"0"
1296,"1"
1297,"1"
1298,"1"
1299,"1"
1300,NA
1301,"0"
1302,NA
1303,"0"
1304,"0"
1305,NA
1306,"0"
1307,"1"
1308,NA
1309,NA
